50	31	42	39	29	24	23	39	31	26	31	31	30	30	30	36	52	49	28	23	23	31	30	33	22	19	21	20	17	16
52	31	29	20	21	28	15	25	28	23	17	17	24	14	15	14	17	17	14	14	14	18	16	16	18	19	14	16	17	19
57	33	21	24	16	16	21	32	28	18	16	22	16	19	30	27	24	18	12	32	20	34	38	27	27	21	13	19	25	38
73	14	11	6	12	9	19	24	21	6	8	15	6	5	6	9	9	7	13	6	5	4	4	5	6	9	6	6	9	7
75	25	25	8	21	10	9	18	9	11	9	15	10	8	12	11	8	9	10	12	13	13	11	11	8	11	13	10	9	16
76	26	21	20	34	13	19	19	15	20	22	18	16	16	22	22	28	17	22	10	10	14	18	17	17	16	15	14	19	13
77	24	22	31	21	26	21	23	13	25	26	19	17	17	18	26	29	17	17	13	13	25	17	17	21	18	17	12	21	24
82	16	23	18	16	16	15	17	20	16	20	15	19	13	15	12	19	19	18	18	13	15	14	17	14	13	12	16	13	17
84	7	10	8	5	14	4	5	7	8	8	15	8	7	10	10	8	11	14	10	7	13	12	20	7	6	10	10	10	13
87	21	23	18	15	21	15	30	18	18	13	14	17	19	18	13	14	18	11	18	13	15	10	10	10	16	13	14	17	17
88	12	20	14	15	14	11	17	12	20	15	15	13	11	16	17	23	20	20	22	11	18	21	14	15	18	11	18	20	15
89	9	10	10	10	4	13	8	12	10	10	9	4	11	10	10	13	13	8	12	9	10	4	15	8	8	8	4	7	8
104	22	15	9	23	17	6	15	18	15	29	17	19	16	15	27	24	29	17	22	17	18	16	22	20	14	11	9	9	15
105	20	24	26	15	13	15	23	24	16	10	10	22	16	16	18	9	16	17	13	15	16	24	24	22	17	20	25	21	28
107	11	14	12	12	15	12	10	11	14	12	10	11	12	12	10	13	19	9	14	15	9	9	9	8	9	9	8	10	14
109	14	16	14	16	10	15	11	17	11	12	10	10	11	11	10	14	14	12	8	9	8	17	13	12	12	11	9	14	11
121	19	7	10	8	9	8	11	11	12	12	14	12	7	16	17	14	12	15	12	16	18	19	10	10	7	10	10	10	9
122	8	11	8	7	8	9	8	7	11	7	8	9	6	7	7	8	11	7	6	7	8	6	13	8	6	8	6	6	7
125	10	11	15	21	13	8	15	10	12	17	8	10	10	17	12	10	15	18	17	15	10	10	9	16	8	8	8	10	10
129	29	14	22	25	27	24	32	23	20	29	17	23	19	35	34	24	20	27	13	12	15	20	12	19	12	8	7	26	20
136	8	8	9	17	10	13	13	13	8	9	8	7	9	9	6	8	6	9	8	8	17	8	10	8	12	11	8	8	11
138	14	10	12	14	21	25	23	18	33	23	11	13	8	10	7	11	10	12	7	10	10	27	19	13	5	9	10	5	9
139	19	13	9	15	10	9	9	8	12	10	8	8	7	14	12	9	9	9	8	8	10	10	7	12	8	7	11	8	9
150	18	16	16	21	14	13	21	7	20	13	24	16	11	23	23	21	16	9	18	13	21	24	17	13	19	9	11	19	6
153	10	12	11	11	11	10	10	10	11	11	11	10	10	11	11	10	11	10	10	11	11	10	13	12	10	11	11	10	10
156	12	7	9	7	6	5	5	9	7	6	7	5	9	10	4	10	5	5	6	3	6	5	3	4	3	4	4	5	4
158	21	17	19	17	18	16	21	11	21	13	19	6	11	13	21	19	15	19	17	7	24	10	18	17	19	6	10	17	25
163	7	7	7	7	5	8	5	5	7	6	6	4	6	6	6	6	4	5	7	10	4	5	6	6	6	4	5	5	8
167	10	11	10	9	10	10	9	15	17	10	14	12	12	14	13	14	18	8	12	11	10	16	9	10	9	8	10	10	9
170	22	26	11	29	20	13	16	17	12	27	8	10	12	16	18	5	8	3	5	3	14	11	7	8	3	9	3	3	3
181	8	14	6	11	6	6	10	10	9	8	7	9	14	11	11	13	6	11	15	12	9	8	9	11	8	10	8	11	9
196	11	6	10	9	9	8	11	11	10	8	6	5	8	6	8	7	8	7	11	6	6	9	12	7	7	6	7	6	6
216	19	18	19	25	13	27	15	22	14	12	18	15	15	13	9	15	18	14	11	24	12	16	12	8	7	5	12	18	17
223	7	7	7	9	10	7	6	7	9	7	9	8	6	8	7	8	7	7	5	5	10	8	7	7	6	7	6	6	5
235	8	17	7	8	5	8	11	10	10	9	10	16	10	13	13	11	13	10	9	11	6	11	15	10	6	15	6	10	10
237	7	13	10	9	7	7	12	9	7	9	8	9	12	11	14	9	13	8	8	8	6	10	16	10	7	7	12	11	12
238	10	13	11	6	9	8	10	8	7	7	10	8	12	10	13	13	10	10	9	8	16	14	10	13	8	8	13	10	13
